intent,category,display_name,Sonnet 4.5,GPT-5,GPT-5.4,Opus 4.5/4.6
read-file-full,read,view file,5.53,11.57,19.99,10.72
read-file-range,read,view lines (range),10.56,13.82,13.59,12.35
read-via-bash,read,cat / head / tail,4.15,6.85,0.35,1.79
read-file-full(truncated),read,view file (truncated),0.35,0.56,2.71,2.8
search-keyword,search,grep / ripgrep,12.38,14.97,14.54,16.47
search-files-by-content,search,find | grep,5.75,0.02,0.05,0.59
view-directory,search,view directory,2.01,4.91,0.0,0.0
search-files-by-name,search,find by filename,3.17,0.11,0.85,1.11
list-directory,search,ls / tree,1.49,1.63,0.27,2.0
run-repro-script,reproduce,run repro script,0.66,2.46,0.17,0.0
edit-source,edit,edit source,9.23,11.48,8.39,12.44
insert-source,edit,insert into source,0.02,1.85,0.0,0.0
run-test-suite,verify,pytest / go test (broad),10.51,1.35,0.05,1.06
run-verify-script,verify,run verify script,6.05,0.26,0.0,0.0
compile-build,verify,go build / make / tsc,1.92,0.09,2.14,5.28
create-test-script,verify,write test file,4.66,0.04,0.32,0.21
run-inline-verify,verify,inline verify snippet,1.77,1.6,3.21,0.28
run-test-specific,verify,pytest -k / :: (targeted),1.95,0.85,1.27,0.54
git-github-context,git,GitHub context,0.0,0.0,9.68,9.0
git-repo-inspect,git,repo inspect,0.0,0.0,6.82,6.62
git-local-state-change,git,local state change,0.0,0.0,1.99,4.74
git-publish,git,publish,0.0,0.0,0.82,1.67
file-cleanup,housekeeping,rm / mv / cp,2.75,0.04,0.42,0.59
empty,other,empty action (timeout),1.36,1.97,0.0,0.0
bash-other,other,other shell command,1.64,1.45,1.64,1.86
